epoch, D loss, accuracy, G loss
0,0.6511979,57.8125, 0.19813773
1,0.5470333,62.5, 0.16453815
2,0.32833064,84.375, 0.17766255
3,0.2963832,92.1875, 0.3256064
4,0.2566789,93.75, 0.49993002
5,0.21528773,98.4375, 0.79536927
6,0.16517347,100.0, 0.97154695
7,0.18388593,98.4375, 0.986683
8,0.147094,100.0, 1.2608191
9,0.14998145,98.4375, 1.624618
10,0.102774,100.0, 1.4948578
11,0.10885388,100.0, 1.8029232
12,0.106139414,100.0, 2.0129905
13,0.108520046,100.0, 1.9987453
14,0.093397915,100.0, 2.1900773
15,0.080676675,100.0, 2.2774787
16,0.07546405,100.0, 2.3381605
17,0.070555106,100.0, 2.6867023
18,0.07389922,100.0, 2.7900126
19,0.06985429,100.0, 2.8988602
20,0.07730502,100.0, 3.0919304
21,0.07057312,100.0, 3.1120224
22,0.06038283,100.0, 3.3398285
23,0.05971103,100.0, 3.3427753
24,0.06133309,100.0, 3.7683754
25,0.044655945,100.0, 3.8691423
26,0.05511544,100.0, 3.8363485
27,0.043615803,100.0, 3.8888369
28,0.038370147,100.0, 4.387984
29,0.044957366,100.0, 3.9956427
30,0.040055238,100.0, 4.5409145
31,0.043408412,100.0, 4.5075045
32,0.032757364,100.0, 4.8401256
33,0.036126994,100.0, 4.339912
34,0.054570075,100.0, 4.920559
35,0.031644065,100.0, 5.082645
36,0.038343966,100.0, 5.4602833
37,0.036931034,100.0, 5.2292624
38,0.023412347,100.0, 5.497643
39,0.033033244,100.0, 5.5656414
40,0.04673248,98.4375, 5.330899
41,0.029518345,100.0, 5.8746557
42,0.028152766,100.0, 5.1780357
43,0.027481591,100.0, 6.198131
44,0.026321031,100.0, 6.006181
45,0.028335255,100.0, 6.2170796
46,0.021677738,100.0, 6.422737
47,0.021440936,100.0, 7.0949078
48,0.025176916,100.0, 7.031869
49,0.021395467,100.0, 6.469819
50,0.021656789,100.0, 6.5775323
51,0.042818762,98.4375, 6.468396
52,0.021641733,100.0, 6.964695
53,0.031033417,100.0, 6.4446077
54,0.01737779,100.0, 7.4914384
55,0.02185911,100.0, 7.3292375
56,0.019229988,100.0, 6.887541
57,0.024722122,100.0, 7.8484077
58,0.022266956,100.0, 7.017018
59,0.020427015,100.0, 7.916747
60,0.020070193,100.0, 7.489093
61,0.022307653,100.0, 7.820922
62,0.037940063,98.4375, 8.1017275
63,0.014809057,100.0, 7.834995
64,0.019826842,100.0, 7.495085
65,0.024530519,100.0, 7.8625803
66,0.023138087,100.0, 8.09288
67,0.018934667,100.0, 8.060805
68,0.045655116,98.4375, 7.539954
69,0.022853643,100.0, 8.104198
70,0.014331573,100.0, 7.8247895
71,0.023172041,100.0, 7.858259
72,0.014056725,100.0, 9.058407
73,0.024971059,100.0, 8.293547
74,0.016044496,100.0, 9.228008
75,0.01626322,100.0, 8.229494
76,0.01865255,100.0, 8.863353
77,0.025961941,100.0, 8.814105
78,0.021633847,100.0, 8.656627
79,0.026909418,100.0, 8.733385
80,0.024857871,100.0, 9.1892395
81,0.024705052,100.0, 8.7680435
82,0.024979828,100.0, 8.991887
83,0.013355953,100.0, 9.31156
84,0.02408225,100.0, 9.834295
85,0.023380496,100.0, 10.167352
86,0.027816385,100.0, 9.515621
87,0.02350828,100.0, 8.944237
88,0.022180302,100.0, 9.339087
89,0.019302072,100.0, 9.342683
90,0.02245834,100.0, 9.762943
91,0.025895465,100.0, 9.448768
92,0.022117667,100.0, 8.800491
93,0.02135846,100.0, 10.061159
94,0.11916408,96.875, 8.028681
95,0.068130046,100.0, 6.6693916
96,0.03937487,100.0, 8.749471
97,0.01936876,100.0, 10.405956
98,0.024960753,100.0, 9.757046
99,0.026423011,100.0, 9.999657
100,0.02412431,100.0, 10.374039
101,0.019015236,100.0, 11.041548
102,0.051631972,100.0, 9.8549595
103,0.015008246,100.0, 9.7638235
104,0.04276903,100.0, 9.981278
105,0.042921893,100.0, 10.592369
106,0.0782829,98.4375, 9.761573
107,0.0269012,100.0, 10.074729
108,0.085527614,96.875, 11.226299
109,0.041373488,98.4375, 13.527775
110,0.09164736,98.4375, 12.702191
111,0.04049876,100.0, 10.970953
112,0.05123408,98.4375, 9.205936
113,0.03535601,100.0, 9.63965
114,0.088406794,96.875, 11.95373
115,0.063412204,98.4375, 9.472629
116,0.07509352,98.4375, 11.551565
117,0.2887543,87.5, 6.7643623
118,0.0594943,98.4375, 12.239563
119,0.080534495,98.4375, 10.94932
120,0.14049381,93.75, 11.57698
121,0.038896333,100.0, 11.879364
122,0.2078781,92.1875, 13.5938015
123,0.18068999,95.3125, 7.327791
124,0.13644545,93.75, 7.248329
125,0.1587469,92.1875, 13.234632
126,0.62886256,73.4375, 8.926283
127,0.0796237,96.875, 6.674655
128,0.2365247,93.75, 10.759636
129,0.24597728,89.0625, 9.847338
130,0.12744534,96.875, 11.518537
131,0.06848855,98.4375, 11.723642
132,0.36488953,82.8125, 9.809522
133,0.13846299,95.3125, 10.951775
134,0.24871226,92.1875, 8.091302
135,0.09579748,96.875, 11.997046
136,0.46811616,79.6875, 7.3392954
137,0.12761685,96.875, 6.5937886
138,0.0739115,100.0, 7.30817
139,0.10448255,98.4375, 6.733593
140,0.29617846,89.0625, 6.6048017
141,0.14205599,95.3125, 6.9633427
142,0.14765777,96.875, 6.566373
143,0.1649904,90.625, 8.542206
144,0.32712135,82.8125, 6.504296
145,0.09173302,98.4375, 8.490021
146,0.20595884,89.0625, 7.641613
147,0.17100173,95.3125, 7.25279
148,0.14931826,93.75, 7.177701
149,0.09925206,95.3125, 6.773081
150,0.14907207,93.75, 7.3978643
151,0.14525288,96.875, 8.9327755
152,0.42259744,79.6875, 5.922935
153,0.073718034,98.4375, 9.553516
154,0.20108783,89.0625, 5.516883
155,0.14590465,95.3125, 7.878311
156,0.3497405,85.9375, 6.3399916
157,0.12096788,98.4375, 7.878328
158,0.28224626,89.0625, 4.528743
159,0.2546933,95.3125, 6.0736036
160,0.29156303,90.625, 5.44316
161,0.25809094,90.625, 5.147458
162,0.26124865,89.0625, 5.027648
163,0.41215736,82.8125, 7.866516
164,0.14538464,93.75, 10.914412
165,0.32636005,84.375, 4.876721
166,0.28244627,87.5, 7.1424046
167,0.1392181,95.3125, 6.278066
168,0.18644843,89.0625, 5.698369
169,0.12540859,98.4375, 7.126441
170,0.18656613,95.3125, 4.7398596
171,0.22860208,92.1875, 4.55653
172,0.22406045,90.625, 5.4967175
173,0.27217865,87.5, 4.3738036
174,0.20530437,93.75, 6.8311977
175,0.1745909,95.3125, 8.390308
176,0.32302514,85.9375, 4.288535
177,0.25185487,93.75, 6.962508
178,0.17259917,92.1875, 5.076265
179,0.4592017,71.875, 5.932149
180,0.074971616,98.4375, 8.232006
181,0.3174758,85.9375, 3.9898987
182,0.3079054,85.9375, 7.238064
183,0.16318092,93.75, 6.087804
184,0.5251671,67.1875, 7.1950083
185,0.41375822,85.9375, 4.906807
186,0.5267588,78.125, 6.843029
187,0.42708302,79.6875, 3.5482545
188,0.15539636,96.875, 3.7670617
189,0.3819915,79.6875, 5.7745457
190,0.437537,79.6875, 2.6999168
191,0.35431695,87.5, 4.561743
192,0.34668928,81.25, 5.152278
193,0.25870755,95.3125, 5.6014147
194,0.60545164,76.5625, 2.2018046
195,0.17785731,95.3125, 4.624155
196,0.41440377,81.25, 4.0269203
197,0.33372515,84.375, 3.9002988
198,0.20933594,93.75, 6.055633
199,0.27012867,92.1875, 5.6695566
200,0.80567455,68.75, 1.8630574
201,0.26764587,85.9375, 5.341957
202,0.5655167,73.4375, 3.7499886
203,0.42281497,78.125, 4.281909
204,0.39170027,84.375, 4.5348525
205,0.7536527,56.25, 2.552589
206,0.19366002,89.0625, 5.1796064
207,0.3491466,87.5, 3.7453458
208,0.4376657,84.375, 2.7002172
209,0.3309276,85.9375, 4.5008254
210,0.44950432,76.5625, 3.9725618
211,0.3328146,87.5, 4.0301824
212,0.55441886,71.875, 5.767904
213,0.95018625,57.8125, 2.8107963
214,0.51300114,81.25, 2.7826505
215,0.3100394,90.625, 4.8634486
216,0.5264567,81.25, 2.8969522
217,0.4085344,82.8125, 3.0482392
218,0.405084,87.5, 3.146095
219,0.2818111,90.625, 4.2074957
220,0.40013573,81.25, 3.5202658
221,0.43686807,76.5625, 3.8926206
222,0.8698356,54.6875, 1.7854674
223,0.29876173,90.625, 4.8305454
224,0.78143996,68.75, 1.2316587
225,0.40665525,76.5625, 3.3059654
226,0.31184843,89.0625, 3.2342381
227,0.5030295,85.9375, 2.7653177
228,0.43689016,73.4375, 3.401294
